transaction_id,user_id,merchant_id,merchant_category,bank_name,amount,status,failure_reason,request_time,response_time,latency_ms,city
d9975a67-6baf-49da-8af1-9e38b9435e24,8012fd33a7d1b89934030abed96d5afbc50ec4aff86d73be90c4e895829e7e5a,188d5ace-108d-48e1-8044-72693315091e,Fuel,HDFC,3063.98,SUCCESS,,2026-01-30 17:21:27,2026-01-30 17:21:28.830,1830,Mahbubnagar
d47ab73d-0ff9-45ce-8a2d-6353e868da46,0b2d371d8dc6fd56621c6d0edefb6cbc7811f4d30ec27ad23864a4745ae77940,b09638e2-45e5-4f33-915b-d0c08aaa3516,Grocery,KOTAK,1649.93,SUCCESS,,2026-01-30 12:32:35,2026-01-30 12:32:36.194,1194,Kollam
f0d600c1-3749-47a6-942a-4912bc4d1e20,a815f4c055ad43cd2b29be47b8d09fbff596f4e78a4c908e49ef792141ff683c,308fb902-c3e3-4162-bee4-8ee045fb0915,Fuel,ICICI,4283.75,SUCCESS,,2026-01-30 18:02:18,2026-01-30 18:02:19.415,1415,Dewas
73cee51d-88e7-4d9a-9416-81dba77f3aa0,989366c5cf20815f0c10e9590e1bc01e1a62aabd5a0a5c2fc501936519cc46ca,11dc365f-8fa5-4d5f-84ba-f4b26b21d1f6,Travel,SBI,4081.65,SUCCESS,,2026-01-30 21:04:40,2026-01-30 21:04:41.707,1707,Dhanbad
7195495e-18d9-4ffa-90fb-bfc4c7150b3a,a374ec8fefd187154f209c868d7b54c5aac2c513def8c75841efea967fabbcc3,4ffb3103-e488-4624-b9f3-a1694b30b998,Travel,AXIS,2097.73,SUCCESS,,2026-01-30 18:25:55,2026-01-30 18:25:56.383,1383,Tezpur
a6c5256e-4cf2-4fd6-b3d3-ddd5d7b97ea2,b1b72f778d293506b6c13832c2b96e5678c61c58e3b096e4e5eff4f14229b5a5,3bb24a62-b96e-42ca-8e40-b17fb663d56e,Utilities,KOTAK,1396.69,SUCCESS,,2026-01-31 00:00:01,2026-01-31 00:00:01.768,768,Bikaner
0340d99f-d112-4ac6-b4e3-a7870911721e,58c919991d3bfec431fe9fbdcb2045c726e68261ed673ecf91ff8834a06bef0a,17d15b75-bf17-435e-88a2-26d90bb76fd2,Ecommerce,AXIS,178.74,SUCCESS,,2026-01-30 17:59:36,2026-01-30 17:59:37.510,1510,Nizamabad
1b238bb5-0bbd-4df8-bf5c-7c7219abc5c3,d1c9860ab924117309f66383d92b783d4bb513834f61e457b4206ab07c2d8489,7d8bd329-612f-4b7c-ae90-9931325c0ca7,Ecommerce,HDFC,2459.57,SUCCESS,,2026-01-31 07:53:13,2026-01-31 07:53:15.697,2697,Panihati
b56cf25d-e0ea-4f09-9a59-22c555dfa468,fb4a3cc169a67cf6d4e1b5d47a39474c473b2c02a903d19c53a095719ff1364a,18e08592-85d8-4642-8743-b8ba89d90bcc,Grocery,ICICI,2584.27,FAILED,BANK_TIMEOUT,2026-01-30 10:13:54,2026-01-30 10:13:54.303,303,Tirupati
7202df17-903d-40a8-acd7-e0581c838018,a5642aa19524ec2f74c0caac3e0fb18b7515b67ec43cd508a65d82e566c417e8,d5b1cbe5-c044-4c2c-bf57-38843a940f81,Utilities,IDFC,802.95,SUCCESS,,2026-01-31 01:31:02,2026-01-31 01:31:04.684,2684,Surendranagar Dudhrej
